time,open,high,low,close,Basis,Upper,Lower,Basis,Upper,Lower,MA,MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Histogram,MACD,Signal,Plot,Plot,Aroon Up,Aroon Down,K,D,Plot
1534147200,72.22,72.67,69.83,71.3,65.40849999999998,76.08821212158887,54.72878787841108,65.40849999999998,76.08821212158887,54.72878787841108,70.1455555555555,70.1455555555555,49139,61024.1,49139,61024.1,49139,61024.1,1.0209506932271404,2.191330572626285,1.1703798793991445,7.078735294117664,0.5707472178060413,71.42857142857143,28.571428571428573,66.33161758690197,74.28637693393664,-2.236875471219341
1534233600,71.62,71.87,69.44,69.54,65.65699999999998,76.477465978876,54.83653402112397,65.65699999999998,76.477465978876,54.83653402112397,71.16999999999993,71.16999999999993,47161,61057.8,47161,61057.8,47161,61057.8,0.7356501863116405,2.089942612288695,1.3542924259770546,6.55620588235297,2.580335731414868,64.28571428571429,21.428571428571427,63.64242291090908,67.57706164912017,-6.960615999122261
1534320000,68.52,68.93,66.46,67.76,65.80349999999999,76.65450783337694,54.95249216662303,65.80349999999999,76.65450783337694,54.95249216662303,70.93111111111105,70.93111111111105,64054,62374.1,64054,62374.1,64054,62374.1,0.3923230902641499,1.844696288807242,1.452373198543092,5.132205882352963,0.5073269327943406,57.142857142857146,14.285714285714286,56.421115060022004,62.13171851927768,-5.218209033816123
1534406400,68.03,68.49,66.79,67.11,65.95449999999998,76.78996671814426,55.119033281855714,65.95449999999998,76.78996671814426,55.119033281855714,70.64333333333327,70.64333333333327,38084,62338.35,38084,62338.35,38084,62338.35,0.10184360243893642,1.5796777015917627,1.4778340991528263,4.47650000000003,2.8782722513089007,50,7.142857142857143,47.636902211234506,55.900146727388524,-10.711940918697254
1534492800,64.61,65.38,60.72,61.11,65.87299999999999,76.82781647495779,54.9181835250422,65.87299999999999,76.82781647495779,54.9181835250422,69.83111111111106,69.83111111111106,102098,65609.85,102098,65609.85,102098,65609.85,-0.481941237229748,0.8754075526156413,1.3573487898453893,3.1553529411765027,2.309497206703911,42.857142857142854,0,28.888286466305754,44.31543457918742,2.757880278638305
1534752000,58.52,61.72,57.67,61.7,65.92549999999999,76.78937679422079,55.06162320577919,65.92549999999999,76.78937679422079,55.06162320577919,68.24999999999994,68.24999999999994,80256,66554.3,80256,66554.3,80256,66554.3,-0.7973043770861297,0.3607183184877272,1.1580226955738568,1.1327352941176798,2.1830835117773018,35.714285714285715,100,15.179478088582977,30.568222255374412,4.325168820944675
1534838400,62.25,64.98,61.83,64.42,66.17049999999999,76.66006333695563,55.680936663044356,66.17049999999999,76.66006333695563,55.680936663044356,67.17555555555549,67.17555555555549,65472,66789.85,65472,66789.85,65472,66789.85,-0.7901452969033882,0.17034107444462165,0.9604863713480098,-0.29226470588231734,1.6508928571428572,28.571428571428573,92.85714285714286,8.915105792100446,17.660956782329723,1.8133294415506473
1534924800,64.23,64.79,62.97,64.35,66.297,76.63355668005565,55.960443319944346,66.297,76.63355668005565,55.960443319944346,66.49111111111107,66.49111111111107,33272,66142.35,33272,66142.35,33272,66142.35,-0.7574612093965116,0.013659859602370261,0.7711210689988819,-1.1371764705881873,1.095272206303725,21.428571428571427,85.71428571428571,16.30261148281441,13.46573178783261,-7.407027208198835
1535011200,63.74,65.49,63.73,64.05,66.43449999999999,76.572772979162,56.296227020837975,66.43449999999999,76.572772979162,56.296227020837975,65.70444444444439,65.70444444444439,32373,65588.75,32373,65588.75,32373,65588.75,-0.723443551038646,-0.13318336979942558,0.5902601812392204,-1.8365588235293728,0.5533707865168539,14.285714285714286,78.57142857142857,21.674015205845524,15.630577493586792,-13.501211744894519
1535097600,64.23,64.8,63.9,64.59,66.68999999999998,76.3611364378758,57.01886356212417,66.68999999999998,76.3611364378758,57.01886356212417,64.95888888888884,64.95888888888884,25027,64513.7,25027,64513.7,25027,64513.7,-0.6351175863723288,-0.2036368017261907,0.43148078464613815,-1.6256764705882034,2.280721533258174,7.142857142857143,71.42857142857143,22.258260036551707,20.078295575070545,-19.55953130796151
